INFO | 2018-10-08 12:24:40,593 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$22ab084] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-10-08 12:24:40,653 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d5327d63] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-10-08 12:24:41,677 | bootLogin | restartedMain org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer | Tomcat initialized with port(s): 8076 (http)
INFO | 2018-10-08 12:24:41,696 | bootLogin | restartedMain org.apache.catalina.core.StandardService | Starting service [Tomcat]
INFO | 2018-10-08 12:24:41,697 | bootLogin | restartedMain org.apache.catalina.core.StandardEngine | Starting Servlet Engine: Apache Tomcat/8.5.23
INFO | 2018-10-08 12:24:41,887 | bootLogin | localhost-startStop-1 org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
INFO | 2018-10-08 12:24:41,887 | bootLogin | localhost-startStop-1 org.springframework.web.context.ContextLoader | Root WebApplicationContext: initialization completed in 5339 ms
WARN | 2018-10-08 12:24:45,203 | bootLogin | localhost-startStop-1 com.cxgm.security.url.MyFilterSecurityInterceptor | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
INFO | 2018-10-08 12:24:45,589 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'characterEncodingFilter' to: [/*]
INFO | 2018-10-08 12:24:45,589 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'springSessionRepositoryFilter' to: [/*]
INFO | 2018-10-08 12:24:45,591 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.DelegatingFilterProxyRegistrationBean | Mapping filter: 'springSecurityFilterChain' to: [/*]
INFO | 2018-10-08 12:24:45,591 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'myFilterSecurityInterceptor' to: [/*]
INFO | 2018-10-08 12:24:45,591 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'customUsernamePasswordAuthenticationFilter' to: [/*]
INFO | 2018-10-08 12:24:45,591 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'concurrentSessionFilter' to: [/*]
INFO | 2018-10-08 12:24:45,591 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'corsFilter' to: [/*]
INFO | 2018-10-08 12:24:45,591 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.ServletRegistrationBean | Mapping servlet: 'dispatcherServlet' to [/]
DEBUG | 2018-10-08 12:24:45,629 | bootLogin | localhost-startStop-1 com.cxgm.security.login.CustomUsernamePasswordAuthenticationFilter | Initializing filter 'customUsernamePasswordAuthenticationFilter'
DEBUG | 2018-10-08 12:24:45,629 | bootLogin | localhost-startStop-1 com.cxgm.security.login.CustomUsernamePasswordAuthenticationFilter | Filter 'customUsernamePasswordAuthenticationFilter' configured successfully
WARN | 2018-10-08 12:24:46,867 | bootLogin | restartedMain org.beetl.ext.spring.BeetlSpringViewResolver | Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
INFO | 2018-10-08 12:24:47,042 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/delete],methods=[GET],produces=[text/json;charset=UTF-8]}" onto public java.lang.String com.cxgm.controller.AdminController.adminDelete(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,043 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/edit],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdminController.adminEdit(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,043 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/admin],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdminController.getAdminMember(javax.servlet.http.HttpServletRequest,java.lang.Integer) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,043 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/update],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdminController.adminUpdate(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Boolean,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,044 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/list],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdminController.adminList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.String,java.lang.String) throws java.sql.SQLException
